,CU@SHFE,AL@SHFE,ZN@SHFE,PB@SHFE,NI@SHFE,SN@SHFE,AU@SHFE,FU@SHFE,WR@SHFE,AG@SHFE,RB@SHFE,HC@SHFE,BU@SHFE,SC@INE,RU@SHFE,SP@SHFE,M@DCE,Y@DCE,A@DCE,B@DCE,P@DCE,C@DCE,CS@DCE,JD@DCE,BB@DCE,FB@DCE,L@DCE,V@DCE,PP@DCE,J@DCE,JM@DCE,I@DCE,EG@DCE,SR@CZCE,CF@CZCE,ZC@CZCE,FG@CZCE,TA@CZCE,MA@CZCE,WH@CZCE,PM@CZCE,RI@CZCE,LR@CZCE,JR@CZCE,RS@CZCE,OI@CZCE,RM@CZCE,SF@CZCE,SM@CZCE,CY@CZCE,AP@CZCE,CJ@CZCE,NR@INE,UR@CZCE,RR@DCE,SS@SHFE,EB@DCE,SA@CZCE,PG@DCE,LU@INE,LH@DCE,PF@CZCE,PK@CZCE,BC@INE
2012-1-4,0.007767341,0.004417797,-0.001351808,0.00163559,,,0.024573486,0.006925208,0,,-0.012114014,,,,-0.020902318,,0.006099627,0.010006671,0.004608295,0.005068638,0.010497376,0.004399472,,,,,0.001561687,0,,-0.005,,,,0.017875211,0.004833253,,,0.006183115,0.002563164,0.002105263,,0.00989707,,,,0.007781283,,,,,,,,,,,,,,,,,,
2012-1-5,0.004839577,0.002827521,0.006091371,0.003919007,,,0.014207149,0.013165651,0,,0.004568406,,,,0.032339886,,-0.002020882,0.002642008,0.000458716,0.000420256,0.001236705,0,,,,,0.011954262,0.005788712,,0.004522613,,,,0.038933068,0.001683502,,,0.016308201,0.011687363,-0.002521008,,0.000784006,,,,-0.000626043,,,,,,,,,,,,,,,,,,
2012-1-6,-0.002854085,-0.001566416,-0.009081736,-0.006180872,,,0.004398253,-0.000193949,0,,0.004308281,,,,0.007780508,,-0.005399933,-0.00307422,-0.002751032,-0.003780718,-0.002470356,0.004818222,,,,,-0.001027221,-0.001438849,,0.017508754,,,,-0.007335353,0.002160864,,,0.004651163,0.022021661,0,,0.001175088,,,,0.000835247,,,,,,,,,,,,,,,,,,
2012-1-9,-0.007334526,0.000627549,0.000678887,-0.006546645,,,-0.009327855,0.000969932,0,,-0.002621544,,,,-0.000812678,,-0.001696641,-0.003524229,0.00045977,0.000632511,0.000495295,-0.00043592,,,,,0.00874036,0.002881844,,-0.000491642,,,,0.002730924,0.005510302,,,0.004861111,0.002472625,-0.00084246,,0.000782473,,,,-0.003755477,,,,,,,,,,,,,,,,,,
2012-1-10,0.006848081,0.007839448,0.012211669,0.006919275,,,0.005752346,-0.001162791,0,,0.007168459,,,,0.014233428,,0.013936098,0.006410256,0.004595588,0.004424779,0.003217822,0.002180549,,,,,-0.00254842,0.001436782,,0.00245942,,,,0.024190964,0.005003574,,,-0.004837595,-0.001057082,-0.00084317,,0,,,,0.001884817,,,,,,,,,,,,,,,,,,
2012-1-11,0.017719706,0.00746733,0.010723861,0.003927987,,,0.012040939,0.003492433,0,,0.002135231,,,,0.013432237,,-0.002346631,0.001757083,-0.000457457,0.001678204,0.002220577,0.000435161,,,,,-0.003065917,-0.00286944,,0.012757605,,,,-0.00140779,0.004741584,,,0,0.004232804,-0.001265823,,-0.003127443,,,,0.001881271,,,,,,,,,,,,,,,,,,
2012-1-12,0.00949701,-0.001846722,0.006962865,0.00423867,,,0.002320048,-0.00328693,0,,-0.000236742,,,,0.001582591,,-0.009744624,-0.004385003,-0.003432494,0.001465969,-0.00418513,0.003044802,,,,,0.000512558,0.000719424,,0.000968992,,,,0.008302005,0.005663049,,,-0.005787037,-0.002107482,0.00295733,,0.00745098,,,,-0.001669101,,,,,,,,,,,,,,,,,,
2012-1-13,0.010452962,-0.000308356,0.006914718,0.005844156,,,-0.000979287,-0.004849661,0,,0.001420791,,,,-0.010468102,,-0.011537156,-0.008588417,-0.008495982,-0.009201171,-0.011619283,-0.007372073,,,,,0.00204918,-0.004313444,,-0.012100678,,,,-0.00248563,-0.007977475,,,0.003026775,-0.00563182,-0.0084246,,-0.002335539,,,,-0.008568443,,,,,,,,,,,,,,,,,,
2012-1-16,0.000517241,0.000308452,-0.004251145,-0.004519045,,,-0.004455666,0.006042885,0,,0.002601088,,,,0.021157685,,-0.013731548,-0.013105287,-0.013663733,-0.010552976,-0.014507254,-0.00436872,,,,,-0.011758691,-0.010830325,,0.001959824,,,,0.002180346,0,,,0.008588672,0.003893805,-0.012744265,,-0.001560671,,,,-0.009274874,,,,,,,,,,,,,,,,,,
2012-1-17,0.02808892,0.00955905,0.014043109,0.013618677,,,0.013784872,0.009494284,0.007921267,,0.012971698,,,,0.026192338,,0.012530456,0.007652487,0.005869923,0.003199659,0.008333333,0.007459412,,,,,0.022762545,0.019708029,,0.009779951,,,,0.002797203,0.006622517,,,0.014729574,0.010930889,0.006024096,-0.008489723,0.007424775,,,,0.003829787,,,,,,,,,,,,,,,,,,
2012-1-18,-0.008009344,0,-0.001288245,0.007677543,,,-0.003296348,0.003262956,0.012145749,,0.001396973,,,,0.011619048,,-0.005500172,-0.00580746,-0.003034547,-0.002338933,-0.008014025,-0.00043554,,,,,0.009610521,0.00071582,,-0.000484262,,,,0.001084767,0.002114662,,,0.004536176,0.003487967,-0.006843456,-0.008489723,-0.009309542,,,,-0.003179313,,,,,,,,,,,,,,,,,,
2012-1-19,0.018671152,-0.000305437,0.009996775,0.015873016,,,0.005994389,-0.002295772,-0.005176471,,0.002092537,,,,0.0146865,,0.006567577,0.00651539,0.00421447,0.00511509,0.007826306,0,,,,,0.000501002,-0.003576538,,0.003875969,,,,0.002167183,-0.001172333,,,0.001806277,0.023635732,-0.002583979,-0.008489723,-0.001566171,,,,0.007016798,,,,,,,,,,,,,,,,,,
2012-1-20,0.002642008,0.001833181,0.012452107,0.0075,,,-0.00325819,-0.001917546,-0.000236518,,0.003016241,,,,0.036927074,,0.012706044,0.010491071,0.008859874,0.001908397,0.00751503,0.003921569,,,,,0.015022534,0.012203877,,-0.000482625,,,,0.017299969,0.00399061,,,0.01262114,0.006451613,0.006044905,-0.008489723,0.005098039,,,,0.002533784,,,,,,,,,,,,,,,,,,
2012-1-30,-0.006587615,-0.007319305,0.005361085,0,,,0.040168448,0.003458213,0,,-0.000693963,,,,-0.026485326,,0.002373686,-0.000883587,-0.003466605,0.005291005,-0.002237693,0.009982639,,,,,0.007400099,-0.00070922,,0.008208595,,,,-0.010021257,0.005143792,,,0.009793011,0.006072874,0.01416309,-0.008489723,0.001170503,,,,-0.001474305,,,,,,,,,,,,,,,,,,
2012-1-31,0.004973475,0.001843318,0.007841907,0.00248139,,,0.00512443,0.006318208,0,,-0.005324074,,,,0.017647059,,-0.004397835,-0.00508512,0.002087199,-0.004421053,-0.006229753,0.004297379,,,,,0.008325171,0,,0.00335249,,,,0.002147239,0.003023959,,,0.008595989,0.008718981,0.00507829,-0.008489723,-0.003507405,,,,-0.003163889,,,,,,,,,,,,,,,,,,
2012-2-1,-0.018475751,-0.005519779,-0.018051665,-0.010210396,,,-0.002675906,-0.001141553,0,,-0.002792646,,,,-0.014450867,,0.008834523,0.003555556,0.014579958,0.019242969,0.004262788,-0.002139495,,,,,-0.005342399,-0.002838893,,-0.007159905,,,,-0.004132231,-0.00255102,,,-0.006118881,-0.003989362,-0.001167315,-0.008489723,-0.000391083,,,,0.00232755,,,,,,,,,,,,,,,,,,
2012-2-2,0.006386555,0.003391921,0.010776545,0.00812754,,,0.007823312,0.000375235,0,,0.007701284,,,,0.002016129,,0.002020882,0.006864482,0.005474453,0.00186722,0.010237203,-0.000857633,,,,,0,0.002846975,,0.000961538,,,,0.002612571,-0.001860033,,,-0.00703606,-0.005006676,0.002726919,-0.008489723,0.003521127,,,,0.003799873,,,,,,,,,,,,,,,,,,
2012-2-3,-0.001002004,-0.004917025,0.000627156,0.00124031,,,0.004876135,-0.003188297,0.006387509,,0.003242242,,,,0.014450338,,-0.001344538,0.001099626,-0.005217786,0.001035411,-0.000988631,0.008154506,,,,,0.006347656,0.019162527,,0.000960615,,,,0.000766401,0.002562311,,,0.005314438,-0.003690037,0,-0.005858495,0.014814815,,,,0.00168244,,,,,,,,,,,,,,,,,,
2012-2-6,0.01186894,0.001544163,0.015042306,0.006193868,,,-0.014641084,0.001881468,0,,-0.000461681,,,,0.031554273,,0.020531807,0.01142355,0.008893957,-0.004757964,0.010390896,0.007662835,,,,,0.005822416,-0.000696379,,0.012955854,,,,0.005820187,0.01277881,,,0.012334802,0.017171717,0.006216006,0.006346328,0.000384172,,,,0.009447827,,,,,,,,,,,,,,,,,,
2012-2-7,-0.008260367,-0.00431699,-0.011423279,-0.012003693,,,-0.001981151,0.001126761,-0.000940291,,-0.012933025,,,,-0.008914525,,-0.00560686,-0.003258036,-0.004068716,0.010184993,-0.004162586,0.003379806,,,,,-0.007718283,-0.011149826,,-0.009000474,,,,0.000304553,-0.003441156,,,-0.009138381,-0.004965243,-0.007335907,-0.005405405,-0.008064516,,,,-0.00374376,,,,,,,,,,,,,,,,,,
2012-2-8,0.022655339,0.007122948,0.01623985,0.011838006,,,0.014264243,0.006002626,0,,0.01474029,,,,0.028924162,,0.007628524,0.013510569,0.006128007,0.004115226,0.011802311,0.005894737,,,,,0.016042781,0.010570825,,0.009082218,,,,0.006850358,0.004834254,,,0.013833992,0.005322688,0.004667445,0.00317029,0.005032907,,,,0.008559499,,,,,,,,,,,,,,,,,,
2012-2-9,-0.005212575,-0.004920049,-0.007682852,-0.009852217,,,-0.007185595,0.002237554,0,,-0.009222965,,,,-0.012855674,,-0.006912442,-0.00172006,-0.003158132,-0.006967213,0.001944107,-0.003348681,,,,,-0.015311005,-0.014644351,,-0.013263856,,,,0.002570305,-0.010201819,,,-0.008447044,-0.027465255,-0.003484321,-0.004514673,-0.007824143,,,,-0.002483958,,,,,,,,,,,,,,,,,,
2012-2-10,0.003602423,0.003708282,-0.00092908,-0.000621891,,,-0.005604213,0.002604651,0,,-0.002559926,,,,-0.016669561,,-0.011269473,-0.007107474,-0.006562571,-0.005158894,-0.006791171,0.000839983,,,,,-0.006316812,-0.002123142,,-0.003840614,,,,0.000754034,-0.005825678,,,0.001747488,-0.002381763,-0.011655012,-0.002267574,-0.005257229,,,,-0.004980286,,,,,,,,,,,,,,,,,,
2012-2-13,-0.012833008,-0.003078818,-0.008369498,-0.003422526,,,-0.001529312,-0.000371126,0,,-0.005832944,,,,0.002825358,,0.011733155,0.012147505,0.006833713,0.003318814,0.00976801,0.002098196,,,,,0.000977995,0.005673759,,-0.001927711,,,,0.001959011,0.00090151,,,-0.002616659,0.000682128,0.007075472,0.003636364,0.005285013,,,,0.009384776,,,,,,,,,,,,,,,,,,
2012-2-14,-0.011354287,-0.004604052,-0.010628321,-0.012176085,,,-0.006410256,0.001299425,0,,-0.00211218,,,,-0.004930446,,0.003644798,-0.00235748,-0.000226244,0.002687616,-0.00120919,-0.006281407,,,,,-0.004396678,-0.009167842,,-0.003862868,,,,-0.004963152,-0.004278316,,,-0.001749016,-0.016019087,-0.005854801,-0.000905797,-0.003755163,,,,-0.003305785,,,,,,,,,,,,,,,,,,
2012-2-15,0.005825566,0.000308356,0.000315956,0.002528445,,,0.005366828,-0.000185391,-0.000235294,,-0.014816557,,,,0.014510706,,-0.001320568,-0.000214823,-0.001131478,0.000824742,0.000242131,-0.002107038,,,,,-0.001962709,-0.009964413,,-0.001454193,,,,0.000453446,-0.000904568,,,-0.011169514,0.003810184,-0.004711425,-0.003173164,0,,,,0.000829187,,,,,,,,,,,,,,,,,,
2012-2-16,-0.020188648,-0.005856967,-0.021323299,-0.018600252,,,-0.003890056,-0.003708511,-0.021181454,,-0.004774409,,,,-0.03610675,,0,-0.00601633,-0.004304486,-0.011124845,-0.005325587,0,,,,,-0.018190757,-0.011502516,,-0.007281553,,,,-0.007251851,-0.020597555,,,-0.019712071,0.010006901,-0.003944773,0.000454752,-0.009423294,,,,-0.007592859,,,,,,,,,,,,,,,,,,
2012-2-17,0.009120081,0.003100775,-0.001922461,0.000320616,,,0.007211881,-0.000558347,0,,-0.002878388,,,,0.008324285,,0.013884298,0.010808474,0.005688282,0.003333333,0.008274519,0.001266892,,,,,0.010015023,0.001454545,,-0.000977995,,,,0.004413331,0.003235498,,,0.007004067,0.000683293,0.00990099,0,0.00456621,,,,0.007237386,,,,,,,,,,,,,,,,,,
2012-2-20,-0.006861925,-0.002472952,0.001926164,0.005448718,,,0.001103753,-0.000744879,-0.010819909,,0.00505172,,,,0.013280689,,0.001630258,0.002566296,0.00158371,0,0.005792904,0.006326445,,,,,0.005453644,-0.005809731,,0.003426334,,,,0.003939394,-0.003225063,,,0.002692394,-0.003755548,0.009411765,0.001363636,0.008333333,,,,0.00246356,,,,,,,,,,,,,,,,,,
2012-2-21,0.011964948,0.002788968,0.011214354,0.008606949,,,0.005258248,-0.000186359,0.004861449,,0.011967449,,,,0.02408785,,0.003255208,0.002773038,0.005647165,0.0035299,0.003839693,-0.001257334,,,,,0.013313609,0.010956903,,0.005365854,,,,0.001961968,0.003697712,,,0.00425151,0.005140507,-0.000777001,-0.000907853,0.000375657,,,,0.006348556,,,,,,,,,,,,,,,,,,
2012-2-22,0.007327227,0.004326329,0.002851711,0,,,0.007396158,-0.000186393,-0.001693275,,0.005439924,,,,0.00657212,,-0.004542505,-0.001276324,-0.004267745,-0.002276019,0,-0.003776752,,,,,-0.000973236,0.003612717,,0.002911208,,,,0.0006025,0.002532811,,,-0.000668449,0.005114218,0.00311042,0.001363017,0.00713481,,,,0.001221001,,,,,,,,,,,,,,,,,,
2012-2-23,-0.001157216,-0.001538462,0.002527646,0.00505689,,,0.011920049,-0.001118568,0.030288345,,-0.003293343,,,,0.004639175,,0.002933507,0.001490948,0.000225581,-0.001866445,-0.000239063,0.00168492,,,,,-0.00243546,-0.005759539,,-0.000967586,,,,-0.001053741,-0.006660542,,,-0.006688963,-0.002374491,0.001162791,-0.001361162,-0.003355705,,,,0.000406504,,,,,,,,,,,,,,,,,,
2012-2-24,-0.013240649,-0.004006163,-0.00378191,0.005660377,,,-0.000717261,0.005039194,-0.019755409,,-0.000708048,,,,-0.000684112,,0.000324992,-0.004466185,0.00090212,0.000207771,-0.00191296,0.001682086,,,,,0.003417969,-0.002896452,,0,,,,0.000753466,-0.004855491,,,0.004040404,-0.007480449,-0.005807201,0,-0.001122334,,,,-0.000406339,,,,,,,,,,,,,,,,,,
2012-2-27,0.013082858,0.005878713,0.009174312,0.008755472,,,-0.0036717,0.000185701,0.004318618,,0.010392064,,,,-0.010439843,,0.009096816,0.005767998,0.002253267,0.004985459,0.004791567,0.006297229,,,,,0.010218978,0.007262164,,0.007748184,,,,0.006474928,0.004879182,,,0.01363738,-0.004796163,0.000778816,0,0.002621723,,,,0.003252033,,,,,,,,,,,,,,,,,,
2012-2-28,0.010927152,0.000922793,0.010971787,0.01115933,,,0.002632308,-0.000371333,0.002866699,,0.00397382,,,,0.014008993,,0.009658725,0.005734919,0.006070144,0.003927243,0.005484025,0.005423446,,,,,0.001445087,0.006488825,,0.001922153,,,,0.000299222,0.008786127,,,0.001985002,0.005851979,0.007782101,0,0.002614867,,,,0.00445705,,,,,,,,,,,,,,,,,,
2012-2-29,0.000163773,-0.001229256,0.000930233,0.00030656,,,0.008014371,0.008172363,0.005240591,,0.001164144,,,,0.003922906,,0.000637755,-0.002534319,-0.002681564,-0.004941322,-0.00308276,0.004564315,,,,,-0.000962001,-0.002148997,,0.002877698,,,,-0.001645229,0.004354802,,,-0.001760951,0.018480493,0.018532819,0.016810541,0.007824143,,,,0.001008471,,,,,,,,,,,,,,,,,,
2012-3-1,-0.012772229,-0.003384615,-0.015489467,-0.016242721,,,-0.040904729,-0.003316139,-0.004265403,,-0.005348837,,,,-0.013421679,,-0.006692161,-0.011645141,-0.005825678,0.000206911,-0.013082778,-0.004130525,,,,,-0.001444391,0.005743001,,-0.008608321,,,,-0.004644195,-0.005705157,,,0.003307607,-0.001344086,-0.003790751,-0.006702413,-0.006284658,,,,-0.006044731,,,,,,,,,,,,,,,,,,
2012-3-2,0.017249959,0.004631059,0.011642542,0.009968847,,,0.001886631,0.000924214,0.008567349,,0.003039514,,,,0.010848975,,0.013153673,0.005569837,0.005859815,-0.000827472,0.00626657,-0.000829531,,,,,0.014946962,0.009992862,,0.008200675,,,,0.001505117,-0.001147579,,,0.013406593,0.016823688,0.014840183,0.008547009,0.004464286,,,,0.003446179,,,,,,,,,,,,,,,,,,
2012-3-5,-0.005217675,-0.002151199,-0.003421462,-0.004935225,,,-0.004764758,0.001292705,-0.016517225,,-0.007443592,,,,-0.014650767,,0.008233059,0.001491265,0,0.004140787,0.000958084,-0.00124533,,,,,-0.005700713,-0.004946996,,-0.011483254,,,,-0.004959423,0.012867647,,,-0.001518109,-0.00198544,0.002624672,-0.000892061,-0.002222222,,,,-0.001414141,,,,,,,,,,,,,,,,,,
2012-3-6,-0.011965252,-0.003695719,-0.016229713,-0.014259144,,,-0.005905625,0.003135374,0,,0.000234357,,,,-0.013485477,,-0.000942211,-0.005105297,-0.003585032,-0.000618557,-0.004307251,-0.004571904,,,,,0.003344482,-0.003551136,,-0.000968054,,,,-0.001057242,-0.002722323,,,-0.004344049,-0.01127321,-0.003739716,0.000446429,-0.007423905,,,,-0.004248432,,,,,,,,,,,,,,,,,,
2012-3-7,-0.014764433,-0.000618238,-0.015545685,-0.016981132,,,-0.015803438,-0.000735429,0,,-0.003514527,,,,-0.015597617,,-0.007230431,-0.00470387,-0.002473578,-0.00453889,-0.007209805,0.002922756,,,,,-0.016190476,-0.011404134,,-0.010174419,,,,-0.003023889,-0.016151046,,,-0.012870855,-0.01240778,-0.012762763,-0.005354752,-0.005235602,,,,-0.002844372,,,,,,,,,,,,,,,,,,
2012-3-8,0.000504456,-0.001546551,0.008378988,0.011516315,,,0.009757384,0.001839926,0.00743762,,0.006583588,,,,-0.002848496,,-0.00569981,0.005370569,0.002254283,0.005181347,0.009440813,0.000832639,,,,,-0.000484027,0.001441961,,0.004894763,,,,-0.000606612,0.001387283,,,0.001767956,0.001358234,-0.003802281,-0.003589053,0.005263158,,,,0.004278729,,,,,,,,,,,,,,,,,,
2012-3-9,0.017142857,0.003407683,0.009268137,0.010120177,,,0.008879603,0.004224059,0.00619195,,0.008876431,,,,0.026959472,,0,0,0,0,0,0,,,,,0,0,,0,,,,0.006069803,0.004617871,,,0.007500552,0.01865039,0.009160305,0.00765421,0.006731488,,,,0.016027592,,,,,,,,,,,,,,,,,,
2012-3-12,0.001652346,-0.001234949,0.000629327,-0.002504696,,,0.000834124,-0.000548647,0,,0.003704561,,,,0.001216968,,0.010828025,0.017735043,0.008097166,0.009278351,0.022781775,0.017054908,,,,,0.024213075,0.009359251,,0.000487092,,,,-0.002111614,-0.008963457,,,-0.009634333,-0.002663116,-0.004538578,-0.002234138,-0.001485884,,,,-0.002396166,,,,,,,,,,,,,,,,,,
2012-3-13,0.006928406,0.001545595,0.009433962,0.007214555,,,-0.001178296,0.000914913,0,,0.001384083,,,,0.010244834,,0.003780718,0.006508503,0.004462294,0.002860061,0.007737397,0.001635992,,,,,0.011820331,0.004279601,,0.003407984,,,,0.005139057,0.001391466,,,-0.000221092,0.009012016,0.011398176,0.008508733,0.007440476,,,,0.007405925,,,,,,,,,,,,,,,,,,
2012-3-14,-0.008355177,-0.002160494,-0.009034268,-0.008408595,,,-0.017724068,-0.000731261,0,,-0.003685787,,,,-0.007390856,,0.005649718,0.002503129,0,-0.00162966,-0.001628664,-0.004899959,,,,,-0.006074766,-0.009943182,,-0.014070839,,,,-0.003909774,-0.009495137,,,-0.010393631,-0.008931525,-0.009767092,-0.008436945,-0.003323486,,,,0.000993443,,,,,,,,,,,,,,,,,,
2012-3-15,-0.001817281,0.00030931,-0.001886199,-0.004396985,,,-0.011804681,0.000365898,0,,0.002774566,,,,-0.010562771,,0.001560549,0.002913025,0.001554865,0.00469292,0.003728735,0.013541239,,,,,0.002820874,-0.007173601,,-0.005413386,,,,0.00513285,-0.004442366,,,-0.011843575,-0.005674232,0.003414264,0.003134796,0,,,,0.002778881,,,,,,,,,,,,,,,,,,
2012-3-16,0.005958292,-0.001236858,0.006614173,0.010410095,,,0.009900403,0.000731529,-0.011360947,,-0.000461148,,,,-0.00280014,,-0.001246494,0.000207469,-0.001330672,0.000203087,0.001160901,0.006882591,,,,,-0.008438819,-0.007947977,,-0.001484414,,,,0.001802343,-0.001409112,,,-0.008384319,-0.007049345,0.002268431,0.004017857,0.003705076,,,,0.000593824,,,,,,,,,,,,,,,,,,
2012-3-19,-0.007897335,0.000928793,-0.006570713,-0.009366219,,,0.000645729,0.003106725,-0.000478813,,0.001845444,,,,-0.010530011,,0.002808112,0.003733665,0.004885632,0.005076142,0.003942486,-0.004020909,,,,,-0.00275989,-0.008011653,,-0.005450942,,,,-0.001949025,0.005879586,,,-0.013025594,0.001014199,0.000754432,0.006669631,0.00036914,,,,0.005736894,,,,,,,,,,,,,,,,,,
2012-3-20,0.000829187,-0.00030931,0.000629921,-0.000315159,,,-0.007039775,-0.003825833,-0.003113772,,-0.002302556,,,,-0.004434197,,-0.013690106,-0.012399256,-0.012596685,-0.011515152,-0.013398013,-0.004440856,,,,,-0.003228782,0.002936858,,0.008470354,,,,0.00135196,-0.001402852,,,0.00092614,0.012495778,-0.010177158,-0.004858657,-0.008856089,,,,-0.009244689,,,,,,,,,,,,,,,,,,
2012-3-21,0.0008285,0,-0.004091911,-0.008196721,,,0.000236323,-0.007681053,0.001922153,,0.005769675,,,,0.013539996,,-0.000630915,-0.000418498,0.003113879,-0.001430615,-0.001170686,0.00081103,,,,,0.003239241,0.002196193,,0.006916996,,,,-0.008550855,0,,,0.00277585,-0.000333556,0.003808073,0.002219263,-0.001489203,,,,-0.001389716,,,,,,,,,,,,,,,,,,
